Datum,   Brot,Fleisch,    Fisch,    Molkerei-Eier,    Speisefette-öle,    Obst,    Gemüse,"    Zucker, Marmelade, Honig",    Fertigerichte,  Kaffee-Tee,    Wasser-Saft
2020-07-27,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-28,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-29,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-30,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-31,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-08-01,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-02,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-03,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-04,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-05,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-06,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-07,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-08,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-09,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-10,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-11,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-12,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-13,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-14,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-15,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-16,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-17,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-18,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-19,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-20,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-21,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-22,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-23,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-24,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-25,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-26,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-27,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-28,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-29,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-30,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-08-31,99.3,99.8,99.1,99.8,99.6,98.7,93.2,99.1,99.1,99.2,99.2
2020-09-01,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-02,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-03,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-04,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-05,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-06,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-07,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-08,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-09,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-10,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-11,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-12,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-13,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-14,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-15,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-16,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-17,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
2020-09-18,99.2,99.5,99.3,99.4,98.5,98.9,93.0,99.2,98.7,98.8,99.0
